timestamp,millis,T_ref_C,T_heater_C,T_target_C,error_C,pwm_percent,p_term,i_term,d_term,auto_mode
2026-05-14T14:40:10.671707,1145375.0,26.6565,32.6429,32.6612,0.0033,49.251,0.0668,49.1837,0.0,1
2026-05-14T14:40:11.171102,1145877.0,26.6565,32.6435,32.6569,0.0224,49.636,0.4475,49.1887,0.0,1
2026-05-14T14:40:11.671947,1146379.0,26.6535,32.6513,32.6508,-0.0065,49.058,-0.1301,49.1879,0.0,1
2026-05-14T14:40:12.171567,1146881.0,26.6521,32.6384,32.6531,0.0041,49.271,0.0823,49.1887,0.0,1
2026-05-14T14:40:12.671451,1147383.0,26.647,32.6437,32.6479,0.0176,49.548,0.3529,49.1946,0.0,1
2026-05-14T14:40:13.171834,1147885.0,26.6436,32.6358,32.6471,0.0166,49.526,0.3316,49.194,0.0,1
2026-05-14T14:40:13.671744,1148387.0,26.6485,32.6473,32.6408,-0.0056,49.078,-0.1111,49.1891,0.0,1
2026-05-14T14:40:14.171918,1148889.0,26.6413,32.6254,32.6384,-0.0057,49.076,-0.1145,49.1901,0.0,1
2026-05-14T14:40:14.671820,1149391.0,26.6399,32.629,32.6399,0.0108,49.412,0.2164,49.1955,0.0,1
2026-05-14T14:40:15.171896,1149893.0,26.6438,32.6415,32.6355,-0.0234,48.721,-0.4686,49.1893,0.0,1
2026-05-14T14:40:15.721582,1150395.0,26.6468,32.6243,32.6257,0.0117,49.428,0.2335,49.1944,0.0,1
2026-05-14T14:40:16.221784,1150896.0,26.6272,32.6173,32.6301,0.0058,49.317,0.1169,49.2005,0.0,1
2026-05-14T14:40:16.721336,1151398.0,26.6312,32.6232,32.6267,0.0041,49.284,0.081,49.2026,0.0,1
2026-05-14T14:40:17.221824,1151900.0,26.6306,32.6292,32.6261,0.01,49.405,0.1998,49.2048,0.0,1
2026-05-14T14:40:17.721862,1152402.0,26.6257,32.6331,32.6329,0.0179,49.564,0.358,49.2056,0.0,1
2026-05-14T14:40:18.221570,1152904.0,26.6321,32.63,32.6422,0.0136,49.479,0.2724,49.2062,0.0,1
2026-05-14T14:40:18.721319,1153406.0,26.6406,32.6315,32.6232,-0.0072,49.061,-0.1433,49.2044,0.0,1
2026-05-14T14:40:19.221775,1153908.0,26.6415,32.6215,32.6351,0.0139,49.489,0.2782,49.2104,0.0,1
2026-05-14T14:40:19.721359,1154411.0,26.6241,32.6323,32.6325,0.0127,49.47,0.2531,49.2167,0.0,1
